Şirket;Tarih;Fatura no;Fatura içeriği;Gider sınıfı;Firma;Adet;Brim Fiyat;KDV Tutarı;OIV Tutarı;Ödenecek Tutar;Kur;Birim Fiyat Dolar;KDV Dolar
Bekkiler;31.08.2023;XI62023083102692;HER YÖNE 1000 DAKİKA - 24,90 TL/AY-2662462751 (AĞUSTOS 2023)(GSM:37% SA:21% SI:27% TN:2% TO:5% DO:7% );SABIT HAT;TURKNET;1,00;19,15;3,83;1,92;24,90;0,00;0,00;0,00
Beksan;31.08.2023;C012023001657155;TELEFON;SABIT HAT;TURKTELEKOM;1,00;340,23;68,05;34,02;442,30;0,00;0,00;0,00
Beksan;31.08.2023;C012023001657155;TEMLİKLİ_SAMSUNG GALAXY A13 İKİ BİZDEN_24 AY TAKSİT ÜCRETİ (15/24);SABIT HAT;TURKTELEKOM;1,00;283,00;0,00;0,00;283,00;0,00;0,00;0,00
Beksan;01.09.2023;BTE2023000002658;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;1200,00;240,00;0,00;1440,00;0,00;0,00;0,00
Bekkiler;01.09.2023;BTE2023000002665;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;1200,00;240,00;0,00;1440,00;0,00;0,00;0,00
Beksan;04.09.2023;AAA2023000000285;EPSON LX350,LX300 MUADİL ŞERİT   ;YAZICI G.;OFİS BÜRO MAKİNALARI;2,00;133,63;53,45;0,00;320,71;0,00;0,00;0,00
Beksan;04.09.2023;AAA2023000000285;CANON 057H MUADİL TONER    ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;507,80;101,56;0,00;609,36;0,00;0,00;0,00
Bekkiler;04.09.2023;RAART000000000007;İLAN, REKLAM VE TANITIM;GÖRSEL TANITIM G.;RAART GÖRSEL SAN. REK.;1,00;22717,00;4543,40;0,00;27260,40;0,00;0,00;0,00
Bekkiler;06.09.2023;RAART000000000008;İLAN, REKLAM VE TANITIM;GÖRSEL TANITIM G.;RAART GÖRSEL SAN. REK.;1,00;22717,00;4543,40;0,00;27260,40;0,00;0,00;0,00
Beksan;07.09.2023;BTE2023000002771;ESET ENDPOINT PROTECTION STANDARTYENİLEME, 3 YIL - 31 CİHAZ ;YAZILIM LİSANS G.;BTE BİLGİSAYAR YAZ. DON.;1,00;45391,03;9078,21;0,00;54469,24;26,86;1690,00;338,00
